# Samples: 8K of event 'instructions'
# Event count (approx.): 555386358179
#
# Overhead       Samples  Symbol                                        Source:Line                                                                                      IPC   [IPC Coverage]
# ........  ............  ............................................  ...............................................................................................  ....................
#
     7.70%           535  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:703                                              -      -            
     6.26%           435  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:834                                        -      -            
     6.10%           424  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:712                                              -      -            
     6.02%           418  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:778                                              -      -            
     4.71%           327  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:995                                        -      -            
     4.39%           305  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:708                                              -      -            
     3.50%           243  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:892                                        -      -            
     3.02%           210  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:774                                              -      -            
     3.02%           210  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1156                             -      -            
     2.65%           184  [.] _nvme_qpair_complete_abort_queued_reqs    /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:551                                              -      -            
     2.64%           184  [.] nvme_transport_qpair_process_completions  /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_transport.c:601                                          -      -            
     2.56%           179  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1161                             -      -            
     2.48%           173  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_internal.h:1372                                          -      -            
     2.46%           171  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:949                                        -      -            
     2.29%           159  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_internal.h:1372                                          -      -            
     2.17%           151  [.] nvme_transport_qpair_process_completions  /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_transport.c:605                                          -      -            
     2.01%           140  [.] nvme_transport_qpair_process_completions  /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_transport.c:604                                          -      -            
     1.90%           132  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:601                                              -      -            
     1.89%           131  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1148                             -      -            
     1.87%           130  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:757                                              -      -            
     1.78%           124  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:733                                              -      -            
     1.74%           121  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:959                                        -      -            
     1.69%           118  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:952                                        -      -            
     1.68%           117  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:745                                              -      -            
